"ID","Date","Site","Collection","Mooring.Code","Sampling.Interval","SFLA_count","SFLA_settlement_rate","year","Site.Code","julian","depth_cat","temp_c","oxy_mgl","oxy_mll"
"2015_113_OR",2015-04-23,"OR",4,"OR02",16,0,0,2015,"OR",113,"mid",8.764875,NA,NA
"2015_113_OR",2015-04-23,"OR",2,"OR05",16,0,0,2015,"OR",113,"mid",8.764875,NA,NA
"2015_113_OR",2015-04-23,"OR",1,"OR07",16,0,0,2015,"OR",113,"mid",8.764875,NA,NA
"2015_113_OR",2015-04-23,"OR",3,"OR01",16,0,0,2015,"OR",113,"mid",8.764875,NA,NA
"2015_113_ORF",2015-04-23,"CF",3,"CF06",16,0,0,2015,"ORF",113,"mid",9.019583333,NA,NA
"2015_113_ORF",2015-04-23,"CF",4,"CF03",16,0,0,2015,"ORF",113,"mid",9.019583333,NA,NA
"2015_113_ORF",2015-04-23,"CF",1,"CF05",16,0,0,2015,"ORF",113,"mid",9.019583333,NA,NA
"2015_113_ORF",2015-04-23,"CF",2,"CF04",16,0,0,2015,"ORF",113,"mid",9.019583333,NA,NA
"2015_124_OR",2015-05-04,"OR",2,"OR05",11,0,0,2015,"OR",124,"mid",8.961166667,NA,NA
"2015_124_OR",2015-05-04,"OR",1,"OR07",11,0,0,2015,"OR",124,"mid",8.961166667,NA,NA
"2015_124_OR",2015-05-04,"OR",3,"OR01",11,0,0,2015,"OR",124,"mid",8.961166667,NA,NA
"2015_124_OR",2015-05-04,"OR",4,"OR02",11,0,0,2015,"OR",124,"mid",8.961166667,NA,NA
"2015_124_ORF",2015-05-04,"CF",3,"CF06",11,0,0,2015,"ORF",124,"mid",8.785875,NA,NA
"2015_124_ORF",2015-05-04,"CF",2,"CF04",11,0,0,2015,"ORF",124,"mid",8.785875,NA,NA
"2015_124_ORF",2015-05-04,"CF",1,"CF05",11,0,0,2015,"ORF",124,"mid",8.785875,NA,NA
"2015_124_ORF",2015-05-04,"CF",4,"CF03",11,0,0,2015,"ORF",124,"mid",8.785875,NA,NA
"2015_138_OR",2015-05-18,"OR",2,"OR05",14,0,0,2015,"OR",138,"mid",8.673666667,NA,NA
"2015_138_OR",2015-05-18,"OR",3,"OR01",14,0,0,2015,"OR",138,"mid",8.673666667,NA,NA
"2015_138_OR",2015-05-18,"OR",4,"OR02",14,0,0,2015,"OR",138,"mid",8.673666667,NA,NA
"2015_138_OR",2015-05-18,"OR",1,"OR07",14,0,0,2015,"OR",138,"mid",8.673666667,NA,NA
"2015_138_ORF",2015-05-18,"CF",2,"CF04",14,0,0,2015,"ORF",138,"mid",8.753208333,NA,NA
"2015_138_ORF",2015-05-18,"CF",1,"CF05",14,0,0,2015,"ORF",138,"mid",8.753208333,NA,NA
"2015_138_ORF",2015-05-18,"CF",4,"CF03",14,0,0,2015,"ORF",138,"mid",8.753208333,NA,NA
"2015_138_ORF",2015-05-18,"CF",3,"CF06",14,0,0,2015,"ORF",138,"mid",8.753208333,NA,NA
"2015_140_RR",2015-05-20,"RR",1,"RR04",30,0,0.011333333,2015,"RR",140,"mid",8.418958333,NA,NA
"2015_140_RR",2015-05-20,"RR",2,"RR03",30,0,0,2015,"RR",140,"mid",8.418958333,NA,NA
"2015_140_RR",2015-05-20,"RR",3,"RR02",30,0,0,2015,"RR",140,"mid",8.418958333,NA,NA
"2015_140_RR",2015-05-20,"RR",4,"RR01",30,0,0,2015,"RR",140,"mid",8.418958333,NA,NA
"2015_140_RRH",2015-05-20,"HH",1,"HH04",30,0,0,2015,"RRH",140,"mid",8.2205,NA,NA
"2015_140_RRH",2015-05-20,"HH",2,"HH03",30,0,0,2015,"RRH",140,"mid",8.2205,NA,NA
"2015_140_RRH",2015-05-20,"HH",3,"HH02",30,0,0,2015,"RRH",140,"mid",8.2205,NA,NA
"2015_140_RRH",2015-05-20,"HH",4,"HH01",30,0,0.011333333,2015,"RRH",140,"mid",8.2205,NA,NA
"2015_152_OR",2015-06-01,"OR",3,"OR01",14,0,0,2015,"OR",152,"mid",9.805958333,NA,NA
"2015_152_OR",2015-06-01,"OR",2,"OR05",14,1,0.071428571,2015,"OR",152,"mid",9.805958333,NA,NA
"2015_152_OR",2015-06-01,"OR",1,"OR07",14,0,0,2015,"OR",152,"mid",9.805958333,NA,NA
"2015_152_OR",2015-06-01,"OR",4,"OR02",14,0,0,2015,"OR",152,"mid",9.805958333,NA,NA
"2015_152_ORF",2015-06-01,"CF",2,"CF04",14,0,0,2015,"ORF",152,"mid",9.88675,NA,NA
"2015_152_ORF",2015-06-01,"CF",4,"CF03",14,1,0.071428571,2015,"ORF",152,"mid",9.88675,NA,NA
"2015_152_ORF",2015-06-01,"CF",1,"CF05",14,0,0,2015,"ORF",152,"mid",9.88675,NA,NA
"2015_152_ORF",2015-06-01,"CF",3,"CF06",14,0,0,2015,"ORF",152,"mid",9.88675,NA,NA
"2015_153_RR",2015-06-02,"RR",1,"RR01",12,0,0,2015,"RR",153,"mid",10.6455,NA,NA
"2015_153_RR",2015-06-02,"RR",2,"RR02",12,1,0.056666667,2015,"RR",153,"mid",10.6455,NA,NA
"2015_153_RR",2015-06-02,"RR",3,"RR03",12,1,0.085,2015,"RR",153,"mid",10.6455,NA,NA
"2015_153_RR",2015-06-02,"RR",4,"RR04",12,0,0,2015,"RR",153,"mid",10.6455,NA,NA
"2015_153_RRH",2015-06-02,"HH",1,"HH01",12,0,0,2015,"RRH",153,"mid",10.87025,NA,NA
"2015_153_RRH",2015-06-02,"HH",2,"HH02",12,1,0.085,2015,"RRH",153,"mid",10.87025,NA,NA
"2015_153_RRH",2015-06-02,"HH",3,"HH03",12,0,0,2015,"RRH",153,"mid",10.87025,NA,NA
"2015_153_RRH",2015-06-02,"HH",4,"HH04",12,0,0,2015,"RRH",153,"mid",10.87025,NA,NA
"2015_166_OR",2015-06-15,"OR",1,"OR02",14,0,0,2015,"OR",166,"mid",7.562833333,NA,NA
"2015_166_OR",2015-06-15,"OR",3,"OR05",14,0,0,2015,"OR",166,"mid",7.562833333,NA,NA
"2015_166_OR",2015-06-15,"OR",2,"OR01",14,0,0,2015,"OR",166,"mid",7.562833333,NA,NA
"2015_166_OR",2015-06-15,"OR",4,"OR07",14,0,0,2015,"OR",166,"mid",7.562833333,NA,NA
"2015_166_ORF",2015-06-15,"CF",2,"CF06",14,0,0,2015,"ORF",166,"mid",7.672708333,NA,NA
"2015_166_ORF",2015-06-15,"CF",3,"CF04",14,0,0,2015,"ORF",166,"mid",7.672708333,NA,NA
"2015_166_ORF",2015-06-15,"CF",4,"CF05",14,0,0,2015,"ORF",166,"mid",7.672708333,NA,NA
"2015_166_ORF",2015-06-15,"CF",1,"CF03",14,0,0,2015,"ORF",166,"mid",7.672708333,NA,NA
"2015_167_RR",2015-06-16,"RR",1,"RR01",14,0,0,2015,"RR",167,"mid",7.543083333,NA,NA
"2015_167_RR",2015-06-16,"RR",2,"RR02",14,0,0.024285714,2015,"RR",167,"mid",7.543083333,NA,NA
"2015_167_RR",2015-06-16,"RR",3,"RR03",14,0,0.024285714,2015,"RR",167,"mid",7.543083333,NA,NA
"2015_167_RR",2015-06-16,"RR",4,"RR04",14,0,0,2015,"RR",167,"mid",7.543083333,NA,NA
"2015_167_RRH",2015-06-16,"HH",1,"HH01",14,0,0,2015,"RRH",167,"mid",7.32425,NA,NA
"2015_167_RRH",2015-06-16,"HH",2,"HH02",14,0,0,2015,"RRH",167,"mid",7.32425,NA,NA
"2015_167_RRH",2015-06-16,"HH",3,"HH03",14,0,0,2015,"RRH",167,"mid",7.32425,NA,NA
"2015_167_RRH",2015-06-16,"HH",4,"HH04",14,0,0,2015,"RRH",167,"mid",7.32425,NA,NA
"2015_180_OR",2015-06-29,"OR",3,"OR05",14,0,0,2015,"OR",180,"mid",9.21425,NA,NA
"2015_180_OR",2015-06-29,"OR",4,"OR07",14,0,0,2015,"OR",180,"mid",9.21425,NA,NA
"2015_180_OR",2015-06-29,"OR",1,"OR02",14,0,0,2015,"OR",180,"mid",9.21425,NA,NA
"2015_180_OR",2015-06-29,"OR",2,"OR01",14,0,0,2015,"OR",180,"mid",9.21425,NA,NA
"2015_180_ORF",2015-06-29,"CF",3,"CF04",14,0,0,2015,"ORF",180,"mid",9.290625,NA,NA
"2015_180_ORF",2015-06-29,"CF",4,"CF05",14,0,0,2015,"ORF",180,"mid",9.290625,NA,NA
"2015_180_ORF",2015-06-29,"CF",1,"CF03",14,0,0,2015,"ORF",180,"mid",9.290625,NA,NA
"2015_180_ORF",2015-06-29,"CF",2,"CF06",14,0,0,2015,"ORF",180,"mid",9.290625,NA,NA
"2015_182_RR",2015-07-01,"RR",1,"RR01",15,0,0.022666667,2015,"RR",182,"mid",8.948791667,NA,NA
"2015_182_RR",2015-07-01,"RR",2,"RR02",15,0,0.022666667,2015,"RR",182,"mid",8.948791667,NA,NA
"2015_182_RR",2015-07-01,"RR",3,"RR03",15,0,0,2015,"RR",182,"mid",8.948791667,NA,NA
"2015_182_RR",2015-07-01,"RR",4,"RR04",15,0,0,2015,"RR",182,"mid",8.948791667,NA,NA
"2015_182_RRH",2015-07-01,"HH",1,"HH01",15,0,0,2015,"RRH",182,"mid",9.1085,NA,NA
"2015_182_RRH",2015-07-01,"HH",2,"HH02",15,0,0,2015,"RRH",182,"mid",9.1085,NA,NA
"2015_182_RRH",2015-07-01,"HH",3,"HH03",15,0,0,2015,"RRH",182,"mid",9.1085,NA,NA
"2015_182_RRH",2015-07-01,"HH",4,"HH04",15,0,0,2015,"RRH",182,"mid",9.1085,NA,NA
"2015_194_OR",2015-07-13,"OR",4,"OR02",14,0,0,2015,"OR",194,"mid",14.61370833,NA,NA
"2015_194_OR",2015-07-13,"OR",3,"OR01",14,0,0,2015,"OR",194,"mid",14.61370833,NA,NA
"2015_194_OR",2015-07-13,"OR",1,"OR07",14,0,0,2015,"OR",194,"mid",14.61370833,NA,NA
"2015_194_OR",2015-07-13,"OR",2,"OR05",14,0,0,2015,"OR",194,"mid",14.61370833,NA,NA
"2015_194_ORF",2015-07-13,"CF",2,"CF04",14,0,0,2015,"ORF",194,"mid",14.69141667,NA,NA
"2015_194_ORF",2015-07-13,"CF",3,"CF06",14,0,0,2015,"ORF",194,"mid",14.69141667,NA,NA
"2015_194_ORF",2015-07-13,"CF",4,"CF03",14,0,0,2015,"ORF",194,"mid",14.69141667,NA,NA
"2015_194_ORF",2015-07-13,"CF",1,"CF05",14,0,0,2015,"ORF",194,"mid",14.69141667,NA,NA
"2015_200_RR",2015-07-19,"RR",1,"RR01",18,0,0,2015,"RR",200,"mid",9.360958333,NA,NA
"2015_200_RR",2015-07-19,"RR",2,"RR02",18,0,0,2015,"RR",200,"mid",9.360958333,NA,NA
"2015_200_RR",2015-07-19,"RR",3,"RR03",18,0,0,2015,"RR",200,"mid",9.360958333,NA,NA
"2015_200_RR",2015-07-19,"RR",4,"RR04",18,0,0,2015,"RR",200,"mid",9.360958333,NA,NA
"2015_200_RRH",2015-07-19,"HH",1,"HH01",18,0,0,2015,"RRH",200,"mid",9.526083333,NA,NA
"2015_200_RRH",2015-07-19,"HH",2,"HH02",18,0,0,2015,"RRH",200,"mid",9.526083333,NA,NA
"2015_200_RRH",2015-07-19,"HH",3,"HH03",18,0,0,2015,"RRH",200,"mid",9.526083333,NA,NA
"2015_200_RRH",2015-07-19,"HH",4,"HH04",18,0,0,2015,"RRH",200,"mid",9.526083333,NA,NA
"2015_208_OR",2015-07-27,"OR",4,"OR07",14,0,0,2015,"OR",208,"mid",13.16275,NA,NA
"2015_208_OR",2015-07-27,"OR",1,"OR02",14,0,0,2015,"OR",208,"mid",13.16275,NA,NA
"2015_208_OR",2015-07-27,"OR",2,"OR01",14,0,0,2015,"OR",208,"mid",13.16275,NA,NA
"2015_208_OR",2015-07-27,"OR",3,"OR05",14,0,0,2015,"OR",208,"mid",13.16275,NA,NA
"2015_208_ORF",2015-07-27,"CF",4,"CF05",14,0,0,2015,"ORF",208,"mid",13.13725,NA,NA
"2015_208_ORF",2015-07-27,"CF",1,"CF03",14,0,0,2015,"ORF",208,"mid",13.13725,NA,NA
"2015_208_ORF",2015-07-27,"CF",3,"CF04",14,0,0,2015,"ORF",208,"mid",13.13725,NA,NA
"2015_208_ORF",2015-07-27,"CF",2,"CF06",14,0,0,2015,"ORF",208,"mid",13.13725,NA,NA
"2015_208_RR",2015-07-27,"RR",1,"RR01",8,0,0,2015,"RR",208,"mid",10.37525,NA,NA
"2015_208_RR",2015-07-27,"RR",2,"RR02",8,0,0,2015,"RR",208,"mid",10.37525,NA,NA
"2015_208_RR",2015-07-27,"RR",3,"RR03",8,0,0,2015,"RR",208,"mid",10.37525,NA,NA
"2015_208_RR",2015-07-27,"RR",4,"RR04",8,0,0,2015,"RR",208,"mid",10.37525,NA,NA
"2015_208_RRH",2015-07-27,"HH",1,"HH01",8,0,0,2015,"RRH",208,"mid",10.07904167,NA,NA
"2015_208_RRH",2015-07-27,"HH",2,"HH02",8,0,0,2015,"RRH",208,"mid",10.07904167,NA,NA
"2015_208_RRH",2015-07-27,"HH",3,"HH03",8,0,0,2015,"RRH",208,"mid",10.07904167,NA,NA
"2015_208_RRH",2015-07-27,"HH",4,"HH04",8,0,0,2015,"RRH",208,"mid",10.07904167,NA,NA
"2015_222_OR",2015-08-10,"OR",1,"OR02",14,0,0,2015,"OR",222,"mid",11.18979167,NA,NA
"2015_222_OR",2015-08-10,"OR",3,"OR05",14,0,0,2015,"OR",222,"mid",11.18979167,NA,NA
"2015_222_OR",2015-08-10,"OR",2,"OR01",14,0,0,2015,"OR",222,"mid",11.18979167,NA,NA
"2015_222_OR",2015-08-10,"OR",4,"OR07",14,0,0,2015,"OR",222,"mid",11.18979167,NA,NA
"2015_222_ORF",2015-08-10,"CF",4,"CF05",14,0,0,2015,"ORF",222,"mid",11.22158333,NA,NA
"2015_222_ORF",2015-08-10,"CF",2,"CF06",14,0,0,2015,"ORF",222,"mid",11.22158333,NA,NA
"2015_222_ORF",2015-08-10,"CF",1,"CF03",14,0,0,2015,"ORF",222,"mid",11.22158333,NA,NA
"2015_222_ORF",2015-08-10,"CF",3,"CF04",14,0,0,2015,"ORF",222,"mid",11.22158333,NA,NA
"2015_225_RR",2015-08-13,"RR",1,"RR01",17,0,0,2015,"RR",225,"mid",12.28920833,NA,NA
"2015_225_RR",2015-08-13,"RR",2,"RR02",17,0,0,2015,"RR",225,"mid",12.28920833,NA,NA
"2015_225_RR",2015-08-13,"RR",3,"RR03",17,0,0,2015,"RR",225,"mid",12.28920833,NA,NA
"2015_225_RR",2015-08-13,"RR",4,"RR04",17,0,0,2015,"RR",225,"mid",12.28920833,NA,NA
"2015_225_RRH",2015-08-13,"HH",1,"HH01",17,0,0,2015,"RRH",225,"mid",12.50625,NA,NA
"2015_225_RRH",2015-08-13,"HH",2,"HH02",17,0,0,2015,"RRH",225,"mid",12.50625,NA,NA
"2015_225_RRH",2015-08-13,"HH",3,"HH03",17,0,0,2015,"RRH",225,"mid",12.50625,NA,NA
"2015_225_RRH",2015-08-13,"HH",4,"HH04",17,0,0,2015,"RRH",225,"mid",12.50625,NA,NA
"2015_237_OR",2015-08-25,"OR",2,"OR05",15,0,0,2015,"OR",237,"mid",9.996,NA,NA
"2015_237_OR",2015-08-25,"OR",1,"OR07",15,0,0,2015,"OR",237,"mid",9.996,NA,NA
"2015_237_OR",2015-08-25,"OR",4,"OR02",15,0,0,2015,"OR",237,"mid",9.996,NA,NA
"2015_237_OR",2015-08-25,"OR",3,"OR01",15,0,0,2015,"OR",237,"mid",9.996,NA,NA
"2015_237_ORF",2015-08-25,"CF",4,"CF03",15,0,0,2015,"ORF",237,"mid",9.877166667,NA,NA
"2015_237_ORF",2015-08-25,"CF",1,"CF05",15,0,0,2015,"ORF",237,"mid",9.877166667,NA,NA
"2015_237_ORF",2015-08-25,"CF",3,"CF06",15,0,0,2015,"ORF",237,"mid",9.877166667,NA,NA
"2015_237_ORF",2015-08-25,"CF",2,"CF04",15,0,0,2015,"ORF",237,"mid",9.877166667,NA,NA
"2015_239_RR",2015-08-27,"RR",1,"RR01",14,0,0,2015,"RR",239,"mid",13.25745833,NA,NA
"2015_239_RR",2015-08-27,"RR",2,"RR02",14,0,0,2015,"RR",239,"mid",13.25745833,NA,NA
"2015_239_RR",2015-08-27,"RR",3,"RR03",14,0,0,2015,"RR",239,"mid",13.25745833,NA,NA
"2015_239_RR",2015-08-27,"RR",4,"RR04",14,0,0,2015,"RR",239,"mid",13.25745833,NA,NA
"2015_239_RRH",2015-08-27,"HH",1,"HH01",14,0,0,2015,"RRH",239,"mid",13.2925,NA,NA
"2015_239_RRH",2015-08-27,"HH",2,"HH02",14,0,0,2015,"RRH",239,"mid",13.2925,NA,NA
"2015_239_RRH",2015-08-27,"HH",3,"HH03",14,0,0,2015,"RRH",239,"mid",13.2925,NA,NA
"2015_239_RRH",2015-08-27,"HH",4,"HH04",14,0,0,2015,"RRH",239,"mid",13.2925,NA,NA
"2015_251_RR",2015-09-08,"RR",1,"RR01",12,0,0,2015,"RR",251,"mid",9.753125,NA,NA
"2015_251_RR",2015-09-08,"RR",2,"RR02",12,0,0,2015,"RR",251,"mid",9.753125,NA,NA
"2015_251_RR",2015-09-08,"RR",3,"RR03",12,0,0,2015,"RR",251,"mid",9.753125,NA,NA
"2015_251_RR",2015-09-08,"RR",4,"RR04",12,0,0,2015,"RR",251,"mid",9.753125,NA,NA
"2015_251_RRH",2015-09-08,"HH",1,"HH01",12,0,0,2015,"RRH",251,"mid",9.824166667,NA,NA
"2015_251_RRH",2015-09-08,"HH",2,"HH02",12,0,0,2015,"RRH",251,"mid",9.824166667,NA,NA
"2015_251_RRH",2015-09-08,"HH",3,"HH03",12,1,0.056666667,2015,"RRH",251,"mid",9.824166667,NA,NA
"2015_251_RRH",2015-09-08,"HH",4,"HH04",12,0,0,2015,"RRH",251,"mid",9.824166667,NA,NA
"2015_254_OR",2015-09-11,"OR",2,"OR01",17,0,0,2015,"OR",254,"mid",11.838375,NA,NA
"2015_254_OR",2015-09-11,"OR",3,"OR05",17,0,0,2015,"OR",254,"mid",11.838375,NA,NA
"2015_254_OR",2015-09-11,"OR",1,"OR02",17,0,0,2015,"OR",254,"mid",11.838375,NA,NA
"2015_254_OR",2015-09-11,"OR",4,"OR07",17,0,0,2015,"OR",254,"mid",11.838375,NA,NA
"2015_254_ORF",2015-09-11,"CF",2,"CF06",17,0,0,2015,"ORF",254,"mid",11.8195,NA,NA
"2015_254_ORF",2015-09-11,"CF",1,"CF03",17,0,0,2015,"ORF",254,"mid",11.8195,NA,NA
"2015_254_ORF",2015-09-11,"CF",3,"CF04",17,0,0,2015,"ORF",254,"mid",11.8195,NA,NA
"2015_254_ORF",2015-09-11,"CF",4,"CF05",17,0,0,2015,"ORF",254,"mid",11.8195,NA,NA
"2016_124_OR",2016-05-03,"OR",1,"OR02",13,0,0,2016,"OR",124,"mid",12.99891667,NA,NA
"2016_124_ORF",2016-05-03,"CF",4,"CF05",13,0,0,2016,"ORF",124,"mid",13.000875,NA,NA
"2016_124_RR",2016-05-03,"RR",1,"RR01",13,4,0.269230769,2016,"RR",124,"mid",9.770583333,NA,NA
"2016_124_RR",2016-05-03,"RR",2,"RR02",13,0,0,2016,"RR",124,"mid",9.770583333,NA,NA
"2016_124_RR",2016-05-03,"RR",3,"RR03",13,2,0.153846154,2016,"RR",124,"mid",9.770583333,NA,NA
"2016_124_RR",2016-05-03,"RR",4,"RR04",13,1,0.051282051,2016,"RR",124,"mid",9.770583333,NA,NA
"2016_124_RRH",2016-05-03,"HH",1,"HH01",13,0,0,2016,"RRH",124,"mid",10.11154167,NA,NA
"2016_124_RRH",2016-05-03,"HH",2,"HH02",13,1,0.076923077,2016,"RRH",124,"mid",10.11154167,NA,NA
"2016_124_RRH",2016-05-03,"HH",3,"HH03",13,0,0,2016,"RRH",124,"mid",10.11154167,NA,NA
"2016_124_RRH",2016-05-03,"HH",4,"HH04",13,0,0,2016,"RRH",124,"mid",10.11154167,NA,NA
"2016_125_OR",2016-05-04,"OR",2,"OR01",13,0,0,2016,"OR",125,"mid",11.35254167,NA,NA
"2016_126_OR",2016-05-05,"OR",3,"OR05",13,0,0,2016,"OR",126,"mid",9.085541667,NA,NA
"2016_127_OR",2016-05-06,"OR",4,"OR07",13,0,0,2016,"OR",127,"mid",9.226583333,NA,NA
"2016_128_ORF",2016-05-07,"CF",1,"CF03",13,0,0,2016,"ORF",128,"mid",9.53775,NA,NA
"2016_129_ORF",2016-05-08,"CF",2,"CF06",13,0,0,2016,"ORF",129,"mid",9.487458333,NA,NA
"2016_130_ORF",2016-05-09,"CF",3,"CF04",13,0,0,2016,"ORF",130,"mid",9.57225,NA,NA
"2016_138_OR",2016-05-17,"OR",3,"OR05",14,0,0,2016,"OR",138,"mid",10.27295833,NA,NA
"2016_138_OR",2016-05-17,"OR",4,"OR07",14,2,0.142857143,2016,"OR",138,"mid",10.27295833,NA,NA
"2016_138_OR",2016-05-17,"OR",1,"OR02",14,0,0,2016,"OR",138,"mid",10.27295833,NA,NA
"2016_138_OR",2016-05-17,"OR",2,"OR01",14,0,0,2016,"OR",138,"mid",10.27295833,NA,NA
"2016_138_ORF",2016-05-17,"CF",1,"CF03",14,0,0,2016,"ORF",138,"mid",9.640458333,NA,NA
"2016_138_ORF",2016-05-17,"CF",4,"CF05",14,2,0.142857143,2016,"ORF",138,"mid",9.640458333,NA,NA
"2016_138_ORF",2016-05-17,"CF",3,"CF04",14,0,0,2016,"ORF",138,"mid",9.640458333,NA,NA
"2016_138_ORF",2016-05-17,"CF",2,"CF06",14,0,0,2016,"ORF",138,"mid",9.640458333,NA,NA
"2016_138_RR",2016-05-17,"RR",1,"RR01",14,12,0.857142857,2016,"RR",138,"mid",8.680875,NA,NA
"2016_138_RR",2016-05-17,"RR",2,"RR02",14,0,0,2016,"RR",138,"mid",8.680875,NA,NA
"2016_138_RR",2016-05-17,"RR",3,"RR03",14,27,1.892857143,2016,"RR",138,"mid",8.680875,NA,NA
"2016_138_RR",2016-05-17,"RR",4,"RR04",14,16,1.142857143,2016,"RR",138,"mid",8.680875,NA,NA
"2016_138_RRH",2016-05-17,"HH",1,"HH01",14,0,0,2016,"RRH",138,"mid",8.585583333,NA,NA
"2016_138_RRH",2016-05-17,"HH",2,"HH02",14,13,0.928571429,2016,"RRH",138,"mid",8.585583333,NA,NA
"2016_138_RRH",2016-05-17,"HH",3,"HH03",14,0,0,2016,"RRH",138,"mid",8.585583333,NA,NA
"2016_138_RRH",2016-05-17,"HH",4,"HH04",14,0,0,2016,"RRH",138,"mid",8.585583333,NA,NA
"2016_153_OR",2016-06-01,"OR",2,"OR01",15,0,0,2016,"OR",153,"mid",9.902541667,NA,NA
"2016_153_OR",2016-06-01,"OR",4,"OR07",15,8,0.533333333,2016,"OR",153,"mid",9.902541667,NA,NA
"2016_153_OR",2016-06-01,"OR",3,"OR05",15,3,0.2,2016,"OR",153,"mid",9.902541667,NA,NA
"2016_153_OR",2016-06-01,"OR",1,"OR02",15,6,0.4,2016,"OR",153,"mid",9.902541667,NA,NA
"2016_153_ORF",2016-06-01,"CF",3,"CF04",15,9,0.6,2016,"ORF",153,"mid",9.751791667,NA,NA
"2016_153_ORF",2016-06-01,"CF",2,"CF06",15,0,0,2016,"ORF",153,"mid",9.751791667,NA,NA
"2016_153_ORF",2016-06-01,"CF",1,"CF03",15,3,0.2,2016,"ORF",153,"mid",9.751791667,NA,NA
"2016_153_ORF",2016-06-01,"CF",4,"CF05",15,2,0.133333333,2016,"ORF",153,"mid",9.751791667,NA,NA
"2016_154_RR",2016-06-02,"RR",1,"RR01",16,13,0.841666667,2016,"RR",154,"mid",7.824916667,NA,NA
"2016_154_RR",2016-06-02,"RR",2,"RR02",16,14,0.886755951,2016,"RR",154,"mid",7.824916667,NA,NA
"2016_154_RR",2016-06-02,"RR",3,"RR03",16,7,0.465922618,2016,"RR",154,"mid",7.824916667,NA,NA
"2016_154_RR",2016-06-02,"RR",4,"RR04",16,9,0.586160713,2016,"RR",154,"mid",7.824916667,NA,NA
"2016_154_RRH",2016-06-02,"HH",1,"HH01",16,6,0.3625,2016,"RRH",154,"mid",7.8605,NA,NA
"2016_154_RRH",2016-06-02,"HH",2,"HH02",16,4,0.229166667,2016,"RRH",154,"mid",7.8605,NA,NA
"2016_154_RRH",2016-06-02,"HH",3,"HH03",16,10,0.642857143,2016,"RRH",154,"mid",7.8605,NA,NA
"2016_154_RRH",2016-06-02,"HH",4,"HH04",16,11,0.697916667,2016,"RRH",154,"mid",7.8605,NA,NA
"2016_168_OR",2016-06-16,"OR",4,"OR02",14,0,0,2016,"OR",168,"mid",12.560375,NA,NA
"2016_168_OR",2016-06-16,"OR",2,"OR05",14,0,0,2016,"OR",168,"mid",12.560375,NA,NA
"2016_168_OR",2016-06-16,"OR",3,"OR01",14,1,0.071428571,2016,"OR",168,"mid",12.560375,NA,NA
"2016_168_OR",2016-06-16,"OR",1,"OR07",14,0,0,2016,"OR",168,"mid",12.560375,NA,NA
"2016_168_ORF",2016-06-16,"CF",1,"CF05",14,1,0.071428571,2016,"ORF",168,"mid",12.51733333,NA,NA
"2016_168_ORF",2016-06-16,"CF",3,"CF06",14,0,0,2016,"ORF",168,"mid",12.51733333,NA,NA
"2016_168_ORF",2016-06-16,"CF",2,"CF04",14,0,0,2016,"ORF",168,"mid",12.51733333,NA,NA
"2016_168_ORF",2016-06-16,"CF",4,"CF03",14,0,0,2016,"ORF",168,"mid",12.51733333,NA,NA
"2016_174_RR",2016-06-22,"RR",1,"RR01",20,1,0.05,2016,"RR",174,"mid",8.368833333,NA,NA
"2016_174_RR",2016-06-22,"RR",2,"RR02",20,0,0,2016,"RR",174,"mid",8.368833333,NA,NA
"2016_174_RR",2016-06-22,"RR",3,"RR03",20,0,0,2016,"RR",174,"mid",8.368833333,NA,NA
"2016_174_RR",2016-06-22,"RR",4,"RR04",20,1,0.05,2016,"RR",174,"mid",8.368833333,NA,NA
"2016_174_RRH",2016-06-22,"HH",1,"HH01",20,0,0,2016,"RRH",174,"mid",8.172916667,NA,NA
"2016_174_RRH",2016-06-22,"HH",2,"HH02",20,0,0,2016,"RRH",174,"mid",8.172916667,NA,NA
"2016_174_RRH",2016-06-22,"HH",3,"HH03",20,0,0,2016,"RRH",174,"mid",8.172916667,NA,NA
"2016_174_RRH",2016-06-22,"HH",4,"HH04",20,0,0,2016,"RRH",174,"mid",8.172916667,NA,NA
"2016_181_OR",2016-06-29,"OR",1,"OR02",13,4,0.307692308,2016,"OR",181,"mid",8.762833333,NA,NA
"2016_181_OR",2016-06-29,"OR",2,"OR01",13,3,0.230769231,2016,"OR",181,"mid",8.762833333,NA,NA
"2016_181_OR",2016-06-29,"OR",4,"OR07",13,2,0.153846154,2016,"OR",181,"mid",8.762833333,NA,NA
"2016_181_OR",2016-06-29,"OR",3,"OR05",13,7,0.538461538,2016,"OR",181,"mid",8.762833333,NA,NA
"2016_181_ORF",2016-06-29,"CF",2,"CF06",13,0,0,2016,"ORF",181,"mid",8.448875,NA,NA
"2016_181_ORF",2016-06-29,"CF",4,"CF05",13,0,0,2016,"ORF",181,"mid",8.448875,NA,NA
"2016_181_ORF",2016-06-29,"CF",1,"CF03",13,0,0,2016,"ORF",181,"mid",8.448875,NA,NA
"2016_181_ORF",2016-06-29,"CF",3,"CF04",13,12,0.923076923,2016,"ORF",181,"mid",8.448875,NA,NA
"2016_187_RR",2016-07-05,"RR",1,"RR01",13,0,0,2016,"RR",187,"mid",7.207416667,NA,NA
"2016_187_RR",2016-07-05,"RR",2,"RR02",13,0,0,2016,"RR",187,"mid",7.207416667,NA,NA
