year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,BeutiTUMIpjuv,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
2015,40370.6012189978,45986.1365772067,36565.0252164505,42309.3007996025,43221.8736948446,11.8648778540628,11.3981402051851,13.3649680575,11.570963065,10.869105112,0.016043923,0.000828322,-0.046509336,-0.101282424,0,0.193621867881549,0,0.193621867881549,0.41,0.5,1.238,1.695,1.172,176,-0.3320563324,-0.981424840333333,0.3907770528,0.520410866666667,28,0.582931518918438,0.514400973221734,0.631796810842254,0.0872067364673037,0.499575675902596,0.183554680680715,-0.407775822852802
2016,39675.0133351982,40822.543426767,35955.2635818884,43106.4094728788,42503.4527732243,11.122524633627,11.2919452187283,16.081802745,13.215486515,10.790986426,0.012395165,0.0039839024,-0.0065358245,-0.121173815,0.0011389521640091,0.149886104783599,0.0011389521640091,0.149886104783599,2.15222222222222,1.86,0.072,2.13,1.226,161,-1.0075576954,-0.729988558,0.5150659418,0.29334380775,29,-0.0339512897133987,0.321948605892702,0.261934229400078,0.0504328114509707,0.654188300858485,0.796323940364704,0.0502540626755215
2017,37167.3864209049,43988.7334220522,30427.8621545284,42975.9445731758,39535.6400675807,11.0926877843875,10.3469456762024,15.07608974,12.155645595,11.529686712,0.0122560695,0.0126448956,0.0012319365,-0.1218736258,0.355353075170843,0.252391799544419,0.355353075170843,0.252391799544419,-0.433333333333333,-0.055,0.168,0.745,0.5,167,-0.8578432508,0.01334477525,0.3860729788,0.01985760775,30,1.12130197008804,0.182150311385357,0.412321911007978,1.31300423701174,-0.808426098642226,-0.713716781303707,0.425005787198695
2018,34916.9875148951,36333.2245870692,28075.9824637867,41540.5574891081,38975.4669931324,11.1063028346384,10.128719594099,13.9417194975,11.38335346,11.022241668,0.0154440965,0.0116984792,-0.074296463,-0.1235526062,0.407175398633258,0.21002277904328,0.407175398633258,0.21002277904328,-0.586666666666667,-0.775,-0.082,-0.065,-0.132,188,0.122942265,0.189536442,0.0761653796,-0.3560381365,31,-0.00030313651529857,0.0491701466920469,0.411403250542571,0.173012561505414,-0.848584922586477,-0.874816150518356,-0.199580420339927
2019,35490.3060921808,35936.9281816682,29921.0226052881,44875.9755566694,39158.0445962788,11.9067711634351,10.5394828360413,14.7346697525,12.12344013,10.70405491,-0.0004850125,-0.007130805,-0.004604359,-0.0605515392,0.338838268792711,0.224601366742597,0.338838268792711,0.224601366742597,0.606666666666667,0.715,0.414,0.105,0.49,143,0.4000500824,-0.23792050225,0.059017602,0.3086993635,32,-0.123679698241666,0.327301903129504,0.784695497722265,-0.0476309885925835,-0.563222900241192,-0.810115168805121,-0.199580420339927
2020,35511.3878138384,32409.5095415461,26988.106438227,42036.2926789413,38195.7744343212,11.2080536879715,9.8072671269642,12.9503364475,10.698731755,10.647641904,-0.001650287,0.0009265926,-0.0399473415,-0.066442193,0.67369020501139,0.279043280182232,0.67369020501139,0.279043280182232,0.377777777777778,0.44,-0.234,-0.88,-0.642,116,0.6434434156,0.207398942,-0.2232522062,0.142340941,33,-1.55933423469394,-0.166320042078947,0.860367437091007,-1.61665178928946,-0.881938074476749,-0.341292864368139,1.04959199473732
2021,33581.6438895284,33121.8670256972,25187.3022078662,37935.7102914615,38964.4969958393,10.9479144553709,9.43849433568838,12.472489035,10.76633767,10.661840356,-0.0007207535,-0.0119805784,-0.043598126,-0.0576580822,0.76879271070615,0.468564920273349,0.76879271070615,0.468564920273349,-0.924444444444445,-0.885,-0.482,-0.88,-1.228,179,0.5377223048,0.20181684325,-0.26458591,0.089968808,34,-0.852723017533836,0.827981678028269,2.48779321989071,-0.0353730135871393,0.59717148208047,0.217247041957604,-1.32383559390945
2022,33939.6996854953,37778.6062256877,25095.0329064174,39642.2963780993,34974.0362831311,10.6761961831016,9.43461865076058,13.0213955625,10.37509031,10.605134716,-0.00160317,-0.0064882036,-0.048922311,-0.0607020602,,,,,-0.802222222222222,-0.96,-0.924,-1.285,-1.772,135,0.225826749,0.28571560875,-0.2806733174,0.1163713445,35,2.19804287242725,-1.31464224935248,-1.60461986035188,2.1342885623765,-1.12968075257993,-0.866294905476476,2.04892992679911
2023,31851.9438292781,30499.002837008,23532.3921857323,39950.0267976457,41952.9302458239,11.589703304412,9.39018399841944,16.5265197425,11.58572209,10.990490708,-0.001024058,-0.008054208,-0.014051565,-0.0486508104,,,,,-0.747777777777778,-0.29,0.76,-1.36,-1.858,152,0.2810589316,0.046962624,-0.1204755396,0.0814822265,36,-0.123679698241666,0.409518960691742,,,-0.0860383891262399,-0.493814707432755,0.0502540626755215
2024,38862.3894507702,40009.8234928835,,,,,,16.7404167775,12.119073985,10.598437866,0.005820387,-0.0063874312,-0.0061357795,-0.066983088,,,,,1.55777777777778,1.315,0.55,-0.495,-1.85333333333333,166,0.104020538,0.423170895,-0.0075369968,0.029334739,37,-0.93123537499607,-0.178198502614339,,,0.611367032105847,0.360474726249651,-0.990722949888849
