date,temp_90_180,temp_0_180,temp_0_90,temp_30_130,temp_180_549,dd_90_180,dd_0_180,dd_0_90,dd_30_130,dd_180_549
2020-12-25,10.1653025850497,10.0214618663311,9.8645583683551,10.1419373843089,9.83181962601565,32213.7060068846,60304.9405913055,28091.2345844209,39504.9412558749,33789.5629131347
2020-12-26,10.2158464233813,10.0693454350798,9.9095400772771,10.1923049956511,9.87744468176004,32477.7975621671,60784.4945323244,28306.6969701573,39828.9057320282,34053.9144861177
2020-12-27,10.2272951224133,10.089207508768,9.93857957947851,10.2060885437931,9.87646863725285,32537.6170146093,60983.4132003114,28445.7961857021,39917.5615136772,34048.259284243
2020-12-28,10.1943679344968,10.0569497581517,9.90705206057286,10.1634394962153,9.85658531742345,32365.5724577457,60660.3518278897,28294.779370144,39643.2428396568,33933.0553291515
2020-12-29,10.1423095837392,10.004484518562,9.85414298086861,10.100508963234,9.82274017456635,32093.5675750375,60134.9124533981,28041.3448783606,39238.4736515209,33736.9565714374
2020-12-30,10.1506444485878,9.99874797734807,9.83305715016072,10.0956357949754,9.82771520779787,32137.1172438711,60077.4609931409,27940.3437492698,39207.1294332817,33765.7819139808
2020-12-31,10.1910544829776,10.0427733970467,9.88102628347894,10.138532976255,9.84600494945635,32348.2596735582,60518.3755714223,28170.1158978641,39483.0441032723,33871.7526771501
2021-01-01,10.208231526676,10.0695107195484,9.91819209381938,10.1542858792566,9.84991190859885,32438.009726882,60786.1498562768,28348.1401293948,39584.3667753786,33894.3895984218
2021-01-02,10.2522496724442,10.1176561837316,9.97083969552202,10.1933263408423,9.86510791405418,32668.0045385212,61268.3266800717,28600.3221415505,39835.4750242978,33982.4352540299
2021-01-03,10.2815328627197,10.1541041150295,10.0151030280396,10.2219027115637,9.87600558181575,32821.0092077106,61633.3527120203,28812.3435043097,40019.2782407776,34045.5763410404
2021-01-04,10.3107717558898,10.1927504760284,10.0640111884969,10.2525838345616,9.90262931002793,32973.7824245244,62020.3960174248,29046.6135929003,40216.6192239001,34199.8342223018
2021-01-05,10.3114193907851,10.1991527626039,10.0766907308196,10.2560347036299,9.89543381030647,32977.166316852,62084.514917478,29107.348600626,40238.8152137473,34158.1434969157
2021-01-06,10.3360118540337,10.2187873141763,10.0909171219519,10.2792021240518,9.9067334754172,33105.6619373262,62281.1549514756,29175.4930141494,40387.828061901,34223.6137565672
2021-01-07,10.3391559672513,10.2290092809389,10.1088597118403,10.2867821018983,9.89322383620017,33122.0899288878,62383.527948603,29261.4380197153,40436.5824794099,34145.3389069438
2021-01-08,10.336764063741,10.2304573484066,10.114496474164,10.2879467018838,9.88781558129709,33109.5922330469,62398.0303442925,29288.4381112456,40444.0731865168,34114.0034780353
2021-01-09,10.3023516611676,10.1986910631128,10.0856166111636,10.2561186295309,9.86113762136704,32929.787429601,62079.8909970746,29150.1035674736,40239.3550251424,33959.4313782007
2021-01-10,10.3004903416571,10.1940249948042,10.0778910830493,10.2603827941009,9.85203946060715,32920.0620351583,62033.1603229642,29113.0982878059,40266.782131657,33906.7166347578
2021-01-11,10.3222637707622,10.228790681259,10.1268289082623,10.30478027897,9.85858380047152,33033.8282022327,62381.3386728093,29347.5104705766,40552.3467543349,33944.634539932
2021-01-12,10.3605874955968,10.2841407199026,10.2007514917185,10.361436753009,9.90092221185087,33234.0696644932,62935.6693098247,29701.5996453315,40916.7611953542,34189.9432954639
2021-01-13,10.4014590048947,10.3484540767674,10.2906355486953,10.4211125097328,9.93432022746772,33447.6233005747,63579.7675788254,30132.1442782506,41300.5956626013,34383.451397948
2021-01-14,10.3941255910616,10.3429473248456,10.2871213455181,10.4103952746651,9.92352697788553,33409.306213297,63524.6174583286,30115.3112450317,41231.6624066457,34320.9153098688
2021-01-15,10.4018041298107,10.3593232126725,10.3129844251888,10.424911950284,9.92795590151064,33449.426578261,63688.6219749153,30239.1953966543,41325.0336642265,34346.5764933527
2021-01-16,10.3900952553749,10.3555836150044,10.3179378277527,10.415350432949,9.92015449823744,33388.2477093339,63651.1699042693,30262.9221949354,41263.5339847282,34301.3751627877
2021-01-17,10.3700604876562,10.3415221485454,10.3103921231061,10.3994040562625,9.90003491015472,33283.5660480037,63510.3443176821,30226.7782696784,41160.9668898806,34184.8022694364
2021-01-18,10.3100851507563,10.2951581730211,10.2788756138005,10.3471211807024,9.85028306086839,32970.1949127018,63046.0091028065,30075.8141901046,40824.6834342778,33896.5400546715
2021-01-19,10.2307090835038,10.2263582204521,10.2216122372694,10.2785752419827,9.78779371066966,32555.4549613074,62356.9775778279,29801.5226165205,40383.7959564328,33534.47675962
2021-01-20,10.1825337385033,10.1785240907745,10.1741503101099,10.2359079743993,9.75270553638668,32303.7387836799,61877.9187691063,29574.1799854264,40109.3600913361,33331.1758778244
2021-01-21,10.1541050898558,10.1460799197554,10.1373259502827,10.2076269955194,9.72494686094155,32155.1990944967,61552.9903963506,29397.791301854,39927.4568351805,33170.3421122953
2021-01-22,10.116085557169,10.106040122925,10.0950824206442,10.1723514703492,9.68909223699569,31956.5470362082,61151.991831094,29195.4447948858,39700.5646572858,32962.600421153
2021-01-23,10.0390036874696,10.0331278050171,10.0267183090224,10.1011795733166,9.60381267104178,31553.7942670286,60421.7749672458,28867.9807002172,39242.7870155722,32468.4906160161
2021-01-24,9.97136340934979,9.94959354655956,9.92584667117772,10.0214679596404,9.53569940321114,31200.3738138527,59585.179368794,28384.8055549413,38730.0819164068,32073.8423422054
2021-01-25,9.88436235238063,9.84389076473055,9.79974378237738,9.91988026844199,9.45245776155467,30745.7932911888,58526.5660087764,27780.7727175877,38076.6698866189,31591.5402704477
2021-01-26,9.80590699205273,9.74067697684749,9.66952315024052,9.81936573557583,9.39055863953934,30335.8640334755,57492.8799231276,27157.0158896521,37430.1604112238,31232.8967574909
2021-01-27,9.76144349215846,9.63775814129258,9.50284040470089,9.73517131726188,9.3852191539941,30103.542246528,56462.1477850452,26358.6055385172,36888.6219126284,31201.9597782418
2021-01-28,9.75385452888514,9.61288984971036,9.4591235764978,9.71600136607746,9.37366274151981,30063.8899134249,56213.0918448493,26149.2019314244,36765.3207866102,31135.0019243658
2021-01-29,9.74367152151309,9.59833589404286,9.43980172837857,9.70164468488309,9.35588093236099,30010.6836999059,56067.3339788392,26056.6502789334,36672.978613168,31031.9741220996
2021-01-30,9.7478447013466,9.59042030382888,9.41869953618169,9.69459832545175,9.35419633592234,30032.488564536,55988.0593428463,25955.5707783103,36627.6564293057,31022.213570334
2021-01-31,9.77063261827356,9.61491436504583,9.44505468381098,9.7159779078202,9.38623855859273,30151.5554304794,56233.367365934,26081.8119354546,36765.1699030995,31207.8662084863
2021-02-01,9.80275895377523,9.65705568807249,9.49812049740509,9.74957924222212,9.42728059172815,30319.4155334756,56655.412716046,26335.9971825704,36981.2936859727,31445.6637484729
2021-02-02,9.8147277232534,9.67684601659975,9.52644269357986,9.76584071113116,9.44813565797988,30381.952353999,56853.6128562465,26471.6605022475,37085.8874539956,31566.4980023354
2021-02-03,9.8113067531272,9.67578080939431,9.52794718601136,9.76338374337056,9.45539284786058,30364.0777850896,56842.944806084,26478.8670209944,37070.0842373595,31608.5461605042
2021-02-04,9.79239090786168,9.65977059517035,9.51510647537657,9.7429053680311,9.4424862046673,30265.2424935773,56682.6025106311,26417.3600170538,36938.367327176,31533.7650698423
2021-02-05,9.77901472402246,9.65539779709136,9.52055469829908,9.73327734767557,9.43274484814875,30195.3519330174,56638.80893787,26443.4570048526,36876.4399002492,31477.3236501738
2021-02-06,9.75457379612483,9.64480181936764,9.52506098877133,9.71428902717238,9.41234942414908,30067.6480847523,56532.6902209669,26465.0421362147,36754.3070227727,31359.1525635198
2021-02-07,9.71717246038349,9.61915047433203,9.51222670040325,9.68496039796815,9.38446547217155,29872.2261055037,56275.7920004353,26403.5658949316,36565.6652797312,31197.592945762
2021-02-08,9.64669464426605,9.56626558771549,9.47853243103978,9.62894674850308,9.33545630666709,29503.9795162901,55746.1498609707,26242.1703446806,36205.3854863718,30913.6338408291
2021-02-09,9.58021828660839,9.50899429996193,9.43130216421501,9.57181268256616,9.29386791109674,29156.6405475289,55172.5779141188,26015.9373665899,35837.8991742656,30672.6706768945
2021-02-10,9.53187724800486,9.47161953234994,9.40588956068042,9.53541662704908,9.26503977100572,28904.0586208254,54798.2696164846,25894.2109956592,35603.7997451797,30505.6404332072
2021-02-11,9.50506039719833,9.45361881043559,9.39750559731758,9.51624269023843,9.25396183650834,28763.9405753613,54617.9923865125,25854.0518111512,35480.4729836136,30441.4548807293
2021-02-12,9.47997197458619,9.4111577424105,9.33609420104975,9.48040564726941,9.26277961043791,28632.8535672128,54192.7447902411,25559.8912230283,35249.9691232368,30492.5450628772
2021-02-13,9.48897592197908,9.38411625260585,9.26973383664027,9.4582825747958,9.28644056762107,28679.8991923407,53921.9242698476,25242.0250775069,35107.6735210866,30629.6366487965
2021-02-14,9.49481711211957,9.38649817732085,9.26834234552057,9.46762044156151,9.28177398518577,28710.4194108248,53945.7792458683,25235.3598350436,35167.7346801236,30602.5984701663
2021-02-15,9.51594402777521,9.39129954486252,9.25533557341809,9.47559112465398,9.30288364975863,28820.8075451255,53993.8649417982,25173.0573966727,35219.0021137744,30724.9078667015
2021-02-16,9.49704906943597,9.39120132493276,9.27574110258845,9.47643368603981,9.2801721900879,28722.081387803,53992.8812692016,25270.7998813987,35224.4214686081,30593.3176693693
2021-02-17,9.44730888713347,9.36968106772459,9.28500354029005,9.44745601969424,9.23568524193298,28462.1889352724,53777.3558932617,25315.1669579893,35038.0371186733,30335.5602917597
2021-02-18,9.41747576791989,9.35608949184537,9.28912847044884,9.42565031694387,9.20874117998407,28306.3108873814,53641.2362608314,25334.9253734499,34897.782838583,30179.4463968277
2021-02-19,9.42072599793735,9.3435322603195,9.25932823546495,9.42167801408917,9.219966766338,28323.2933392227,53515.4755870998,25192.1822478771,34872.2329866216,30244.4874441624
2021-02-20,9.41238594640242,9.34553966213034,9.27262278628032,9.42765178456347,9.20388333277226,28279.7165699527,53535.5797162354,25255.8631462827,34910.6562783122,30151.3000300825
2021-02-21,9.41332613844621,9.35681096586402,9.2951634133083,9.43534700394566,9.19056078666113,28284.6290733814,53648.4618231282,25363.8327497467,34960.1519293785,30074.1091979146
2021-02-22,9.44269259606537,9.39098572377646,9.33458313344043,9.46430041490873,9.20316618467107,28438.0688144416,53990.7220236212,25552.6532091796,35146.380268693,30147.1448739842
2021-02-23,9.4294978060691,9.39160144498913,9.35026355633718,9.46186052840342,9.17811340647713,28369.126036711,53996.8884715661,25627.7624348551,35130.6869186908,30001.9890771285
2021-02-24,9.36445101132518,9.34155747659404,9.31658488390715,9.41074248057887,9.10845206960943,28029.2565341741,53495.6981280893,25466.4415939152,34801.8956350833,29598.371291317
2021-02-25,9.31135630455456,9.28804472840121,9.26261613019635,9.35412836805292,9.05924809972917,27751.8366912976,52959.7679549381,25207.9312636405,34437.7536633164,29313.2834898308
2021-02-26,9.25928786078566,9.23763867000446,9.21402342536317,9.30726548867064,9.01625069080857,27479.7790726051,52454.9512800947,24975.1722074896,34136.3316231296,29064.1565025449
2021-02-27,9.17340250211327,9.18643156701306,9.2006438559695,9.25984257186499,8.94788863971279,27031.0280735418,51942.1121436358,24911.0840700939,33831.3074222356,28668.0667784959
2021-02-28,9.1215290497165,9.14685580998481,9.1744825996303,9.21255129460009,8.90779130034789,26759.9892847687,51545.7609369978,24785.7716522291,33527.1299268678,28435.7427942157
2021-03-01,9.12700997542394,9.14606441917327,9.16684927691653,9.20764236958044,8.91515670083579,26788.6271215901,51537.8351580203,24749.2080364302,33495.5557211414,28478.4179246426
2021-03-02,9.13020259116825,9.15899222432838,9.19039636488405,9.21593030852113,8.920651802336,26805.3085388541,51667.3071266487,24861.9985877946,33548.8637444079,28510.2565427348
2021-03-03,9.1017163282476,9.14426289160089,9.19067328690798,9.20024436404025,8.90234802869458,26656.4678150937,51519.7928593829,24863.3250442892,33447.9717495069,28404.2044782564
2021-03-04,9.09073260864145,9.12686121618292,9.16627081417963,9.18215406206506,8.90811302464148,26599.0778801516,51345.515080072,24746.4371999204,33331.6149272025,28437.6068647727
2021-03-05,9.12995152751082,9.12351976393374,9.11650390491698,9.1785856739604,8.98106012097439,26803.996731244,51312.0504357964,24508.0537045524,33308.6630549133,28860.2623409256
2021-03-06,9.16478587403109,9.14402798287835,9.12138498052488,9.19853100025985,9.00376930518843,26986.0061918125,51517.4402485266,24531.4340567142,33436.9513936713,28991.8393542618
2021-03-07,9.18314141698574,9.16055299240056,9.13591321819231,9.21293972234534,9.02641907469991,27081.9139037505,51682.9382188916,24601.0243151411,33529.6282941252,29123.0721188113
2021-03-08,9.18200006561844,9.15759191383318,9.13096715536179,9.20979802399776,9.02427382469512,27075.9503428563,51653.2830170393,24577.332674183,33509.4208903536,29110.6425402835
2021-03-09,9.18081441714575,9.14709627694612,9.11031605094547,9.19786688105426,9.03592997802114,27069.7553295866,51548.1692136154,24478.4138840288,33432.679778941,29178.1782926545
2021-03-10,9.19245264050208,9.15695352085712,9.11823057719431,9.20695581699291,9.04377056971516,27130.5650466234,51646.8895113841,24516.3244647607,33491.1398148984,29223.6066809297
2021-03-11,9.19138278129854,9.17232373314117,9.15153385284425,9.21681170129398,9.03331459338063,27124.9750322849,51800.8221874088,24675.847155124,33554.5328627229,29163.0247540474
2021-03-12,9.20062055012113,9.2029233002374,9.20543517275463,9.23810018363423,9.03126074088635,27173.2423743829,52107.2768518776,24934.0344774947,33691.4603811353,29151.1247326955
2021-03-13,9.22251215156756,9.24430058483802,9.26806771716332,9.2722644023354,9.04654005333951,27287.6259919405,52521.6703571528,25234.0443652123,33911.2046358213,29239.6530690491
2021-03-14,9.24618783295155,9.27509549477296,9.30662838266793,9.29915883878607,9.07341130067423,27411.3314271718,52830.0813801512,25418.7499529794,34084.189651072,29395.3450761065
2021-03-15,9.1719144838421,9.18827543958865,9.20612220238109,9.22025015798342,9.00561760809474,27023.253178075,51960.5785274804,24937.3253494054,33576.6490161493,29002.548421301
2021-03-16,9.10947308783468,9.13114910485131,9.15479361193103,9.15781987803196,8.94682878255073,26696.9968839362,51388.4582850859,24691.4614011496,33175.0974555016,28661.9259660989
2021-03-17,9.11135992023506,9.14323315473494,9.17800093140756,9.16290713135681,8.94920992156607,26706.8555832282,51509.4800446704,24802.6244614422,33207.818668887,28675.7222855538
