date,lst_90_180,lst_0_180,lst_0_90,lst_30_130,lst_180_549
7/1/05,-0.103349082,-0.115428879,-0.126868597,-0.123998993,-0.007564624
8/1/05,-0.066004597,-0.077788535,-0.088622578,-0.08075737,-0.004255711
9/1/05,-0.05184405,-0.068856804,-0.085412674,-0.068267236,-0.000531005
10/1/05,0.016068832,0.013638569,0.011383548,0.016714172,0.018936087
11/1/05,-0.007412366,-0.01223499,-0.016973731,-0.014841413,0.008041631
12/1/05,0.07611636,0.075275799,0.074464133,0.081320872,0.037373796
1/1/06,0.011670487,0.022457993,0.033301512,0.025127559,-0.02099413
2/1/06,-0.058852144,-0.060161947,-0.061063258,-0.064544772,-0.041632728
3/1/06,-0.005846613,0.003400688,0.012603052,0.003382427,-0.036695586
4/1/06,-0.0468558,-0.042556333,-0.038024222,-0.045797012,-0.039358826
5/1/06,-0.111730682,-0.108626263,-0.105167347,-0.115516555,-0.046486149
6/1/06,-0.116936744,-0.12215101,-0.126731768,-0.127178235,-0.036913534
7/1/06,-0.066589334,-0.085824151,-0.104590566,-0.088069905,0.014830258
8/1/06,-0.080420234,-0.101000131,-0.12091182,-0.108425962,0.008599953
9/1/06,-0.037639472,-0.052552346,-0.067049983,-0.055725287,0.035407325
10/1/06,-0.016922441,-0.036679622,-0.05617171,-0.039926453,0.03659081
11/1/06,0.036828723,0.041896956,0.046970342,0.047518673,0.02583303
12/1/06,0.041301831,0.037403539,0.033547968,0.033740107,0.042623224
1/1/07,-0.085776374,-0.084325106,-0.082549168,-0.092642407,-0.011273584
2/1/07,-0.013907317,-0.002259882,0.009578127,-0.001040283,-0.019173048
3/1/07,-0.084269811,-0.082844899,-0.081119338,-0.089031893,-0.058382038
4/1/07,-0.117794556,-0.112478934,-0.106849265,-0.11838474,-0.063018646
5/1/07,-0.149382764,-0.14833046,-0.14671545,-0.157243616,-0.067270364
6/1/07,-0.122464598,-0.120892214,-0.118604352,-0.126472607,-0.029542444
7/1/07,-0.077481321,-0.087524461,-0.096977767,-0.09231966,0.004616279
8/1/07,-0.112320587,-0.119900978,-0.126893599,-0.12707667,-0.020166675
9/1/07,-0.057524944,-0.069468414,-0.080927971,-0.0734556,0.001664848
10/1/07,-0.036228413,-0.030767128,-0.025059041,-0.025398381,-0.029709205
11/1/07,-0.035646914,-0.041512198,-0.047007365,-0.041958302,-0.011230748
12/1/07,-0.004607819,-0.01149957,-0.018228267,-0.012787707,0.000319955
1/1/08,0.016466076,0.009684853,0.003102406,0.005901006,0.011026096
2/1/08,-0.033014495,-0.041706024,-0.050140475,-0.046648028,0.000938221
3/1/08,-0.105557591,-0.106126683,-0.106417967,-0.112565888,-0.062186472
4/1/08,-0.127750453,-0.134128806,-0.140048087,-0.143382351,-0.059439783
