"","xvar","yvar","corr"
"102","DDben","DDegg",0.159779718313338
"103","DDben","DDlarv",0.32254990427581
"104","DDben","DDpjuv",0.506743417483231
"105","DDben","DDben",1
"106","DDben","Tcop",0.792735564712917
"107","DDben","Tpart",0.295760397455225
"108","DDben","MLDpart",-0.105655011638135
"109","DDben","MLDlarv",-0.076359539630487
"110","DDben","MLDpjuv",-0.292473936497405
"111","DDben","CSTlarv",-0.120468078355985
"112","DDben","CSTpjuv",-0.361914299111893
"113","DDben","LSTlarv",0.0435227504741426
"114","DDben","LSTpjuv",0.360124090250951
"115","DDben","HCIlarv",-0.325905661781714
"116","DDben","HCIpjuv",-0.59325100159803
"117","DDben","ONIpre",0.259134143188219
"118","DDben","ONIlarv",0.314504580748432
"119","DDben","ONIpjuv",0.629307381404848
"120","DDben","PDOlarv",0.375287104203908
"121","DDben","PDOpjuv",0.577522967569396
"122","DDben","CutiSTI",0.236842939035374
"123","DDben","CutiTUMI",-0.324168603376636
"124","DDben","BeutiTUMI",-0.22592985489974
"125","DDben","BeutiSTI",0.170746667528862
"126","Tcop","DDpre",0.313347730936526
"127","Tcop","DDegg",0.224871538629027
"128","Tcop","DDlarv",0.29602271487204
"129","Tcop","DDpjuv",0.599958693918008
"130","Tcop","DDben",0.792735564712917
"131","Tcop","Tcop",1
"132","Tcop","Tpart",0.295251453414485
"133","Tcop","MLDpart",-0.0788324251154992
"134","Tcop","MLDlarv",-0.0637139466376128
"135","Tcop","MLDpjuv",-0.441953533842976
"136","Tcop","CSTlarv",-0.111860638122739
"137","Tcop","CSTpjuv",-0.328364412150687
"138","Tcop","LSTlarv",-0.0776989877775415
"139","Tcop","LSTpjuv",0.476003539297305
"140","Tcop","HCIlarv",-0.340049500067084
"141","Tcop","HCIpjuv",-0.696051545394713
"142","Tcop","ONIpre",0.230667435497981
"143","Tcop","ONIlarv",0.260156442358864
"144","Tcop","ONIpjuv",0.544330544725844
"145","Tcop","PDOlarv",0.278273886418929
"146","Tcop","PDOpjuv",0.515579605993412
"147","Tcop","CutiSTI",0.0971440482127168
"148","Tcop","CutiTUMI",-0.454078708707888
"149","Tcop","BeutiTUMI",-0.340858868548576
"150","Tcop","BeutiSTI",0.00747095993793224
"151","Tpart","DDpre",0.88168000708705
"152","Tpart","DDegg",0.661318702454816
"153","Tpart","DDlarv",0.978443388288807
"154","Tpart","DDpjuv",0.782547388964622
"155","Tpart","DDben",0.295760397455225
"156","Tpart","Tcop",0.295251453414485
"157","Tpart","Tpart",1
"158","Tpart","MLDpart",0.564823546248703
"159","Tpart","MLDlarv",0.440986152230653
"160","Tpart","MLDpjuv",0.087715993835879
"161","Tpart","CSTlarv",-0.218684042144837
"162","Tpart","CSTpjuv",-0.0630293373985927
"163","Tpart","LSTlarv",0.358024487016852
"164","Tpart","LSTpjuv",0.0417949212386758
"165","Tpart","HCIlarv",-0.954776242869748
"166","Tpart","HCIpjuv",-0.618617966583955
"167","Tpart","ONIpre",0.715123106336895
"168","Tpart","ONIlarv",0.742179913214482
"169","Tpart","ONIpjuv",0.308369456008037
"170","Tpart","PDOlarv",0.899061070276382
"171","Tpart","PDOpjuv",0.655131681622728
"172","Tpart","CutiSTI",0.409281699601285
"173","Tpart","CutiTUMI",0.0227373416709741
"174","Tpart","BeutiTUMI",-0.463493952199022
"175","Tpart","BeutiSTI",0.355734796555805
"176","MLDpart","DDpre",0.642895079380659
"177","MLDpart","DDegg",0.526298067992708
"178","MLDpart","DDlarv",0.556296445373422
"179","MLDpart","DDpjuv",0.359432031844536
"180","MLDpart","DDben",-0.105655011638135
"181","MLDpart","Tcop",-0.0788324251154992
"182","MLDpart","Tpart",0.564823546248703
"183","MLDpart","MLDpart",1
"184","MLDpart","MLDlarv",0.927276092972883
"185","MLDpart","MLDpjuv",0.302717900181898
"186","MLDpart","CSTlarv",0.0180103361088152
"187","MLDpart","CSTpjuv",0.187338525897016
"188","MLDpart","LSTlarv",0.511145914806733
"189","MLDpart","LSTpjuv",-0.190749741498083
"190","MLDpart","HCIlarv",-0.427572443953738
"191","MLDpart","HCIpjuv",-0.112827751229344
"192","MLDpart","ONIpre",0.478748745449522
"193","MLDpart","ONIlarv",0.470548694048479
"194","MLDpart","ONIpjuv",-0.180914301380484
"195","MLDpart","PDOlarv",0.536244441386494
"196","MLDpart","PDOpjuv",0.101473326681362
"197","MLDpart","CutiSTI",0.117460210443574
"198","MLDpart","CutiTUMI",0.0643154469787174
"199","MLDpart","BeutiTUMI",-0.280122671390451
"200","MLDpart","BeutiSTI",0.171059277253794
"201","MLDlarv","DDpre",0.568608397721539
"202","MLDlarv","DDegg",0.508178080519428
"203","MLDlarv","DDlarv",0.460503610825679
"204","MLDlarv","DDpjuv",0.224156493979958
"205","MLDlarv","DDben",-0.076359539630487
"206","MLDlarv","Tcop",-0.0637139466376128
"207","MLDlarv","Tpart",0.440986152230653
"208","MLDlarv","MLDpart",0.927276092972883
"209","MLDlarv","MLDlarv",1
"210","MLDlarv","MLDpjuv",0.293264917950779
"211","MLDlarv","CSTlarv",0.0756496410197126
"212","MLDlarv","CSTpjuv",0.166966036253536
"213","MLDlarv","LSTlarv",0.639594991415206
"214","MLDlarv","LSTpjuv",-0.231239528181801
"215","MLDlarv","HCIlarv",-0.291705396530728
"216","MLDlarv","HCIpjuv",-0.00209604241787304
"217","MLDlarv","ONIpre",0.352343415844232
"218","MLDlarv","ONIlarv",0.336957372571113
"219","MLDlarv","ONIpjuv",-0.279989091590148
"220","MLDlarv","PDOlarv",0.422871275854195
"221","MLDlarv","PDOpjuv",-0.0278546381407484
"222","MLDlarv","CutiSTI",0.119862963499733
"223","MLDlarv","CutiTUMI",0.012324672875353
"224","MLDlarv","BeutiTUMI",-0.223401697838096
"225","MLDlarv","BeutiSTI",0.172321680214457
"226","MLDpjuv","DDpre",0.0677770248335996
"227","MLDpjuv","DDegg",0.154176109872052
"228","MLDpjuv","DDlarv",0.11840064162278
"229","MLDpjuv","DDpjuv",-0.0959065351262056
"230","MLDpjuv","DDben",-0.292473936497405
"231","MLDpjuv","Tcop",-0.441953533842976
"232","MLDpjuv","Tpart",0.087715993835879
"233","MLDpjuv","MLDpart",0.302717900181898
"234","MLDpjuv","MLDlarv",0.293264917950779
"235","MLDpjuv","MLDpjuv",1
"236","MLDpjuv","CSTlarv",0.234815714620524
"237","MLDpjuv","CSTpjuv",0.469368133477106
"238","MLDpjuv","LSTlarv",0.307002859890184
"239","MLDpjuv","LSTpjuv",-0.476001230031641
"240","MLDpjuv","HCIlarv",-0.0944498197640799
"241","MLDpjuv","HCIpjuv",0.354635737627982
"242","MLDpjuv","ONIpre",-0.0622988770860279
"243","MLDpjuv","ONIlarv",-0.027501019308171
"244","MLDpjuv","ONIpjuv",-0.250631315032117
"245","MLDpjuv","PDOlarv",0.149901163261703
"246","MLDpjuv","PDOpjuv",-0.0774369881591652
"247","MLDpjuv","CutiSTI",0.396920299717226
"248","MLDpjuv","CutiTUMI",0.103096337397871
"249","MLDpjuv","BeutiTUMI",-0.0217246162685196
"250","MLDpjuv","BeutiSTI",0.338646887029832
"251","CSTlarv","DDpre",-0.320710022718099
"252","CSTlarv","DDegg",-0.0680057888498597
"253","CSTlarv","DDlarv",-0.166087252288712
"254","CSTlarv","DDpjuv",-0.356615500284154
"255","CSTlarv","DDben",-0.120468078355985
"256","CSTlarv","Tcop",-0.111860638122739
"257","CSTlarv","Tpart",-0.218684042144837
"258","CSTlarv","MLDpart",0.0180103361088152
"259","CSTlarv","MLDlarv",0.0756496410197126
"260","CSTlarv","MLDpjuv",0.234815714620524
"261","CSTlarv","CSTlarv",1
"262","CSTlarv","CSTpjuv",0.645125667756863
"263","CSTlarv","LSTlarv",-0.322489762603343
"264","CSTlarv","LSTpjuv",-0.688301693596779
"265","CSTlarv","HCIlarv",0.129022116973334
"266","CSTlarv","HCIpjuv",0.195508148815818
"267","CSTlarv","ONIpre",-0.259202390771301
"268","CSTlarv","ONIlarv",-0.326061748395623
"269","CSTlarv","ONIpjuv",-0.0603282566584929
"270","CSTlarv","PDOlarv",0.0435403834624127
"271","CSTlarv","PDOpjuv",0.102260885313117
"272","CSTlarv","CutiSTI",0.14610534083398
"273","CSTlarv","CutiTUMI",-0.18634527870663
"274","CSTlarv","BeutiTUMI",-0.29340350627604
"275","CSTlarv","BeutiSTI",0.10445161287949
"276","CSTpjuv","DDpre",-0.162401861763367
"277","CSTpjuv","DDegg",-0.0503600403682736
"278","CSTpjuv","DDlarv",-0.0108868389185818
"279","CSTpjuv","DDpjuv",-0.128216258794958
"280","CSTpjuv","DDben",-0.361914299111893
"281","CSTpjuv","Tcop",-0.328364412150687
"282","CSTpjuv","Tpart",-0.0630293373985927
"283","CSTpjuv","MLDpart",0.187338525897016
"284","CSTpjuv","MLDlarv",0.166966036253536
"285","CSTpjuv","MLDpjuv",0.469368133477106
"286","CSTpjuv","CSTlarv",0.645125667756863
"287","CSTpjuv","CSTpjuv",1
"288","CSTpjuv","LSTlarv",-0.00452400946706636
"289","CSTpjuv","LSTpjuv",-0.85823199640336
"290","CSTpjuv","HCIlarv",0.0043540638962379
"291","CSTpjuv","HCIpjuv",0.172579835783035
"292","CSTpjuv","ONIpre",-0.127025103077873
"293","CSTpjuv","ONIlarv",-0.132303581871032
"294","CSTpjuv","ONIpjuv",-0.185404164109968
"295","CSTpjuv","PDOlarv",0.0508220861805331
"296","CSTpjuv","PDOpjuv",0.0542124169213964
"297","CSTpjuv","CutiSTI",0.138578064050073
"298","CSTpjuv","CutiTUMI",-0.290524860906725
"299","CSTpjuv","BeutiTUMI",-0.452842675783862
"300","CSTpjuv","BeutiSTI",0.0828249207841948
"301","LSTlarv","DDpre",0.406077445015834
"302","LSTlarv","DDegg",0.206003008563757
